order_id,order_date,promised_date,carrier_id,delivery_date,delivered_late
1,2024-11-08,2024-11-15,2,2024-11-16,True
2,2024-04-15,2024-04-20,5,2024-04-20,False
3,2024-06-29,2024-07-04,3,2024-07-04,False
4,2024-07-02,2024-07-07,2,2024-07-07,False
5,2024-08-13,2024-08-16,3,2024-08-16,False
6,2024-09-21,2024-09-26,1,2024-09-26,False
7,2024-10-04,2024-10-07,3,2024-10-07,False
8,2024-03-29,2024-04-03,3,2024-04-03,False
9,2024-06-24,2024-06-27,1,2024-06-27,False
10,2024-01-18,2024-01-21,2,2024-01-21,False
11,2024-04-15,2024-04-18,3,2024-04-18,False
12,2024-09-27,2024-10-02,4,2024-10-02,False
13,2024-11-14,2024-11-19,3,2024-11-19,False
14,2024-06-15,2024-06-18,2,2024-06-18,False
15,2024-01-13,2024-01-18,1,2024-01-18,False
16,2024-12-02,2024-12-05,2,2024-12-05,False
17,2024-02-01,2024-02-06,5,2024-02-06,False
18,2024-02-09,2024-02-14,3,2024-02-14,False
19,2024-05-27,2024-06-01,3,2024-06-01,False
20,2024-08-05,2024-08-10,1,2024-08-10,False
21,2024-08-06,2024-08-09,3,2024-08-09,False
22,2024-03-22,2024-03-27,4,2024-03-27,False
23,2024-11-28,2024-12-03,4,2024-12-06,True
24,2024-07-26,2024-07-31,2,2024-08-02,True
25,2024-07-19,2024-07-24,1,2024-07-24,False
26,2024-11-27,2024-11-30,5,2024-11-30,False
27,2024-02-07,2024-02-12,2,2024-02-12,False
28,2024-07-29,2024-08-03,1,2024-08-03,False
29,2024-11-22,2024-11-25,1,2024-11-25,False
30,2024-09-05,2024-09-08,2,2024-09-08,False
31,2024-08-14,2024-08-17,2,2024-08-18,True
32,2024-02-17,2024-02-24,3,2024-02-24,False
33,2024-01-18,2024-01-23,5,2024-01-23,False
34,2024-10-21,2024-10-24,4,2024-10-24,False
35,2024-07-14,2024-07-17,3,2024-07-21,True
36,2024-07-05,2024-07-10,1,2024-07-10,False
37,2024-12-10,2024-12-17,5,2024-12-17,False
38,2024-08-11,2024-08-14,5,2024-08-14,False
39,2024-11-13,2024-11-16,2,2024-11-16,False
40,2024-12-30,2025-01-06,5,2025-01-06,False
41,2024-12-02,2024-12-05,5,2024-12-05,False
42,2024-08-16,2024-08-19,1,2024-08-19,False
43,2024-03-17,2024-03-24,3,2024-03-24,False
44,2024-07-06,2024-07-11,5,2024-07-11,False
45,2024-12-11,2024-12-14,2,2024-12-14,False
46,2024-09-26,2024-09-29,3,2024-09-29,False
47,2024-04-04,2024-04-07,2,2024-04-11,True
48,2024-11-05,2024-11-08,5,2024-11-11,True
49,2024-05-11,2024-05-18,3,2024-05-18,False
50,2024-02-08,2024-02-13,5,2024-02-13,False
51,2024-03-12,2024-03-17,1,2024-03-17,False
52,2024-10-07,2024-10-14,3,2024-10-14,False
53,2024-11-28,2024-12-03,2,2024-12-03,False
54,2024-06-08,2024-06-11,1,2024-06-11,False
55,2024-07-05,2024-07-10,4,2024-07-10,False
56,2024-07-09,2024-07-16,2,2024-07-16,False
57,2024-04-29,2024-05-06,5,2024-05-06,False
58,2024-08-07,2024-08-10,2,2024-08-10,False
59,2024-02-22,2024-02-27,4,2024-02-27,False
60,2024-08-09,2024-08-14,2,2024-08-16,True
61,2024-05-10,2024-05-17,1,2024-05-17,False
62,2024-08-24,2024-08-27,2,2024-08-27,False
63,2024-09-02,2024-09-07,3,2024-09-07,False
64,2024-08-13,2024-08-20,4,2024-08-20,False
65,2024-07-26,2024-07-31,2,2024-07-31,False
66,2024-04-05,2024-04-10,4,2024-04-10,False
67,2024-07-18,2024-07-21,1,2024-07-21,False
68,2024-09-03,2024-09-06,3,2024-09-06,False
69,2024-03-12,2024-03-15,5,2024-03-18,True
70,2024-11-13,2024-11-20,2,2024-11-20,False
71,2024-07-03,2024-07-06,1,2024-07-06,False
72,2024-01-06,2024-01-11,4,2024-01-11,False
73,2024-07-24,2024-07-29,4,2024-07-29,False
74,2024-02-01,2024-02-04,1,2024-02-04,False
75,2024-04-08,2024-04-13,2,2024-04-13,False
76,2024-09-12,2024-09-17,5,2024-09-17,False
77,2024-07-05,2024-07-12,2,2024-07-12,False
78,2024-03-16,2024-03-21,3,2024-03-21,False
79,2024-06-25,2024-06-30,2,2024-06-30,False
80,2024-11-10,2024-11-13,3,2024-11-13,False
81,2024-10-13,2024-10-20,4,2024-10-21,True
82,2024-12-14,2024-12-17,3,2024-12-17,False
83,2024-09-11,2024-09-16,5,2024-09-16,False
84,2024-11-20,2024-11-23,1,2024-11-23,False
85,2024-07-08,2024-07-15,3,2024-07-15,False
86,2024-11-03,2024-11-08,2,2024-11-08,False
87,2024-12-10,2024-12-15,3,2024-12-16,True
88,2024-05-06,2024-05-09,4,2024-05-09,False
89,2024-10-13,2024-10-18,3,2024-10-18,False
90,2024-09-10,2024-09-15,5,2024-09-15,False
91,2024-07-31,2024-08-05,3,2024-08-05,False
92,2024-09-06,2024-09-09,5,2024-09-11,True
93,2024-03-24,2024-03-31,2,2024-03-31,False
94,2024-01-13,2024-01-20,4,2024-01-20,False
95,2024-02-14,2024-02-17,1,2024-02-21,True
96,2024-05-06,2024-05-13,2,2024-05-13,False
97,2024-04-23,2024-04-28,2,2024-04-28,False
98,2024-10-02,2024-10-07,1,2024-10-07,False
99,2024-07-23,2024-07-26,3,2024-07-26,False
100,2024-12-02,2024-12-07,3,2024-12-07,False
101,2024-09-29,2024-10-04,3,2024-10-07,True
102,2024-02-27,2024-03-03,4,2024-03-03,False
103,2024-11-23,2024-11-28,2,2024-11-28,False
104,2024-08-06,2024-08-11,5,2024-08-11,False
105,2024-04-18,2024-04-23,1,2024-04-23,False
106,2024-10-05,2024-10-08,2,2024-10-09,True
107,2024-06-22,2024-06-29,3,2024-06-29,False
108,2024-11-23,2024-11-28,1,2024-11-28,False
109,2024-09-20,2024-09-23,5,2024-09-23,False
110,2024-11-10,2024-11-13,2,2024-11-13,False
111,2024-04-20,2024-04-25,2,2024-04-25,False
112,2024-07-05,2024-07-12,4,2024-07-12,False
113,2024-09-25,2024-09-28,2,2024-09-28,False
114,2024-08-16,2024-08-21,2,2024-08-22,True
115,2024-06-04,2024-06-07,5,2024-06-07,False
116,2024-07-07,2024-07-12,5,2024-07-14,True
117,2024-09-28,2024-10-05,1,2024-10-05,False
118,2024-01-02,2024-01-07,3,2024-01-08,True
119,2024-09-02,2024-09-05,5,2024-09-05,False
120,2024-07-28,2024-08-02,1,2024-08-02,False
121,2024-10-12,2024-10-15,2,2024-10-17,True
122,2024-12-24,2024-12-29,1,2024-12-29,False
123,2024-01-13,2024-01-18,1,2024-01-18,False
124,2024-04-05,2024-04-10,1,2024-04-10,False
125,2024-08-08,2024-08-11,1,2024-08-11,False
126,2024-08-25,2024-09-01,5,2024-09-02,True
127,2024-04-03,2024-04-08,3,2024-04-08,False
128,2024-12-03,2024-12-06,1,2024-12-06,False
129,2024-09-25,2024-09-30,4,2024-09-30,False
130,2024-06-19,2024-06-24,2,2024-06-24,False
131,2024-04-03,2024-04-08,2,2024-04-08,False
132,2024-05-28,2024-06-02,2,2024-06-02,False
133,2024-04-21,2024-04-26,2,2024-04-30,True
134,2024-02-24,2024-02-27,2,2024-02-27,False
135,2024-12-02,2024-12-09,1,2024-12-09,False
136,2024-04-25,2024-04-30,3,2024-04-30,False
137,2024-05-22,2024-05-25,4,2024-05-25,False
138,2024-07-19,2024-07-24,5,2024-07-24,False
139,2024-06-28,2024-07-05,4,2024-07-06,True
140,2024-07-20,2024-07-27,5,2024-07-27,False
141,2024-12-29,2025-01-01,5,2025-01-01,False
142,2024-02-22,2024-02-25,4,2024-02-27,True
143,2024-06-28,2024-07-03,1,2024-07-03,False
144,2024-11-08,2024-11-11,2,2024-11-12,True
145,2024-11-03,2024-11-10,1,2024-11-10,False
146,2024-05-16,2024-05-19,2,2024-05-19,False
147,2024-06-30,2024-07-03,3,2024-07-05,True
148,2024-01-01,2024-01-06,5,2024-01-09,True
149,2024-02-13,2024-02-16,4,2024-02-16,False
150,2024-08-14,2024-08-19,3,2024-08-19,False
151,2024-11-26,2024-12-01,2,2024-12-01,False
152,2024-04-07,2024-04-10,1,2024-04-10,False
153,2024-07-26,2024-07-29,4,2024-07-29,False
154,2024-09-21,2024-09-26,5,2024-09-27,True
155,2024-10-14,2024-10-17,3,2024-10-17,False
156,2024-09-27,2024-10-02,5,2024-10-02,False
157,2024-05-19,2024-05-24,2,2024-05-24,False
158,2024-08-24,2024-08-29,5,2024-08-29,False
159,2024-03-12,2024-03-19,1,2024-03-19,False
160,2024-06-03,2024-06-10,3,2024-06-10,False
161,2024-07-08,2024-07-15,3,2024-07-15,False
162,2024-09-24,2024-09-27,1,2024-09-27,False
163,2024-11-16,2024-11-19,5,2024-11-19,False
164,2024-04-16,2024-04-19,1,2024-04-19,False
165,2024-08-19,2024-08-26,4,2024-08-26,False
166,2024-02-11,2024-02-18,1,2024-02-18,False
167,2024-07-08,2024-07-15,5,2024-07-15,False
168,2024-05-18,2024-05-21,1,2024-05-21,False
169,2024-04-12,2024-04-19,2,2024-04-19,False
170,2024-06-19,2024-06-24,1,2024-06-24,False
171,2024-12-16,2024-12-19,1,2024-12-19,False
172,2024-09-29,2024-10-04,5,2024-10-04,False
173,2024-08-08,2024-08-11,4,2024-08-11,False
174,2024-07-31,2024-08-05,4,2024-08-05,False
175,2024-12-06,2024-12-09,5,2024-12-09,False
176,2024-02-25,2024-03-01,5,2024-03-01,False
177,2024-12-07,2024-12-12,5,2024-12-12,False
178,2024-04-11,2024-04-18,2,2024-04-21,True
179,2024-07-10,2024-07-15,3,2024-07-17,True
180,2024-11-05,2024-11-10,1,2024-11-10,False
181,2024-07-18,2024-07-25,5,2024-07-28,True
182,2024-08-20,2024-08-27,5,2024-08-27,False
183,2024-08-14,2024-08-17,5,2024-08-17,False
184,2024-05-18,2024-05-23,4,2024-05-23,False
185,2024-12-09,2024-12-12,5,2024-12-12,False
186,2024-10-31,2024-11-03,1,2024-11-03,False
187,2024-05-28,2024-06-02,5,2024-06-02,False
188,2024-04-24,2024-05-01,1,2024-05-01,False
189,2024-03-03,2024-03-06,2,2024-03-06,False
190,2024-04-13,2024-04-20,3,2024-04-20,False
191,2024-12-04,2024-12-11,4,2024-12-11,False
192,2024-12-24,2024-12-31,1,2024-12-31,False
193,2024-06-04,2024-06-07,2,2024-06-07,False
194,2024-09-29,2024-10-06,3,2024-10-06,False
195,2024-01-06,2024-01-09,3,2024-01-09,False
196,2024-05-26,2024-05-31,3,2024-05-31,False
197,2024-07-02,2024-07-05,1,2024-07-05,False
198,2024-01-28,2024-01-31,2,2024-01-31,False
199,2024-02-07,2024-02-12,5,2024-02-12,False
200,2024-04-28,2024-05-03,2,2024-05-03,False
201,2024-10-19,2024-10-22,2,2024-10-22,False
202,2024-08-31,2024-09-03,2,2024-09-07,True
203,2024-03-08,2024-03-13,1,2024-03-13,False
204,2024-08-01,2024-08-04,1,2024-08-04,False
205,2024-08-05,2024-08-12,1,2024-08-12,False
206,2024-06-25,2024-06-28,2,2024-06-28,False
207,2024-10-25,2024-10-28,1,2024-10-28,False
208,2024-06-12,2024-06-15,3,2024-06-15,False
209,2024-02-27,2024-03-03,1,2024-03-03,False
210,2024-09-25,2024-09-28,4,2024-09-28,False
211,2024-11-03,2024-11-06,1,2024-11-06,False
212,2024-02-27,2024-03-05,1,2024-03-05,False
213,2024-10-14,2024-10-19,1,2024-10-19,False
214,2024-04-14,2024-04-17,1,2024-04-17,False
215,2024-08-15,2024-08-20,4,2024-08-20,False
216,2024-09-03,2024-09-10,5,2024-09-14,True
217,2024-07-06,2024-07-09,1,2024-07-12,True
218,2024-03-23,2024-03-26,3,2024-03-26,False
219,2024-07-04,2024-07-09,4,2024-07-09,False
220,2024-09-08,2024-09-13,5,2024-09-16,True
221,2024-12-20,2024-12-25,1,2024-12-25,False
222,2024-08-25,2024-08-28,5,2024-08-28,False
223,2024-12-25,2024-12-28,3,2024-12-28,False
224,2024-07-02,2024-07-07,4,2024-07-07,False
225,2024-10-10,2024-10-13,4,2024-10-13,False
226,2024-07-28,2024-08-02,5,2024-08-02,False
227,2024-10-30,2024-11-04,1,2024-11-04,False
228,2024-10-22,2024-10-25,2,2024-10-25,False
229,2024-04-06,2024-04-13,4,2024-04-13,False
230,2024-07-26,2024-08-02,2,2024-08-03,True
231,2024-05-16,2024-05-21,4,2024-05-21,False
232,2024-07-02,2024-07-05,1,2024-07-05,False
233,2024-03-16,2024-03-19,1,2024-03-19,False
234,2024-10-13,2024-10-18,4,2024-10-18,False
235,2024-05-21,2024-05-24,5,2024-05-24,False
236,2024-08-24,2024-08-31,1,2024-08-31,False
237,2024-01-25,2024-01-28,1,2024-01-29,True
238,2024-10-16,2024-10-21,3,2024-10-21,False
239,2024-03-07,2024-03-10,1,2024-03-10,False
240,2024-09-06,2024-09-11,3,2024-09-15,True
241,2024-04-27,2024-04-30,1,2024-04-30,False
242,2024-03-13,2024-03-18,1,2024-03-22,True
243,2024-10-08,2024-10-11,5,2024-10-11,False
244,2024-12-25,2025-01-01,5,2025-01-01,False
245,2024-01-10,2024-01-13,1,2024-01-13,False
246,2024-07-29,2024-08-05,4,2024-08-09,True
247,2024-11-18,2024-11-25,4,2024-11-25,False
248,2024-05-31,2024-06-03,1,2024-06-03,False
249,2024-01-05,2024-01-10,4,2024-01-10,False
250,2024-07-13,2024-07-16,1,2024-07-16,False
251,2024-10-09,2024-10-16,5,2024-10-20,True
252,2024-04-22,2024-04-27,2,2024-04-27,False
253,2024-09-27,2024-09-30,3,2024-09-30,False
254,2024-06-11,2024-06-14,4,2024-06-16,True
255,2024-04-14,2024-04-17,4,2024-04-17,False
256,2024-06-29,2024-07-06,5,2024-07-06,False
257,2024-02-13,2024-02-16,4,2024-02-16,False
258,2024-10-08,2024-10-13,1,2024-10-13,False
259,2024-06-23,2024-06-28,1,2024-06-29,True
260,2024-06-10,2024-06-17,2,2024-06-17,False
261,2024-12-16,2024-12-19,2,2024-12-19,False
262,2024-12-05,2024-12-10,2,2024-12-10,False
263,2024-05-19,2024-05-24,1,2024-05-24,False
264,2024-05-11,2024-05-16,2,2024-05-17,True
265,2024-03-27,2024-03-30,2,2024-04-02,True
266,2024-06-24,2024-06-27,1,2024-06-27,False
267,2024-07-01,2024-07-04,5,2024-07-04,False
268,2024-05-08,2024-05-13,4,2024-05-13,False
269,2024-09-02,2024-09-05,3,2024-09-05,False
270,2024-03-29,2024-04-03,1,2024-04-04,True
271,2024-03-06,2024-03-09,1,2024-03-09,False
272,2024-06-06,2024-06-13,3,2024-06-13,False
273,2024-05-28,2024-06-04,3,2024-06-04,False
274,2024-12-05,2024-12-10,2,2024-12-10,False
275,2024-04-25,2024-04-28,3,2024-04-28,False
276,2024-08-01,2024-08-04,4,2024-08-08,True
277,2024-10-20,2024-10-23,4,2024-10-23,False
278,2024-09-09,2024-09-12,4,2024-09-12,False
279,2024-05-22,2024-05-27,4,2024-05-29,True
280,2024-09-06,2024-09-11,4,2024-09-11,False
281,2024-10-28,2024-11-04,2,2024-11-04,False
282,2024-01-25,2024-01-28,1,2024-01-28,False
283,2024-10-03,2024-10-08,3,2024-10-09,True
284,2024-03-10,2024-03-15,1,2024-03-15,False
285,2024-04-22,2024-04-27,3,2024-04-27,False
286,2024-12-28,2024-12-31,2,2024-12-31,False
287,2024-04-21,2024-04-26,2,2024-04-26,False
288,2024-12-29,2025-01-03,5,2025-01-05,True
289,2024-10-29,2024-11-03,5,2024-11-03,False
290,2024-03-31,2024-04-07,2,2024-04-07,False
291,2024-01-18,2024-01-21,2,2024-01-21,False
292,2024-05-28,2024-05-31,3,2024-05-31,False
293,2024-08-14,2024-08-19,2,2024-08-19,False
294,2024-08-01,2024-08-06,1,2024-08-06,False
295,2024-12-25,2024-12-28,3,2024-12-28,False
296,2024-05-30,2024-06-04,2,2024-06-06,True
297,2024-07-10,2024-07-17,3,2024-07-17,False
298,2024-02-09,2024-02-16,3,2024-02-16,False
299,2024-08-29,2024-09-01,4,2024-09-01,False
300,2024-05-17,2024-05-24,5,2024-05-24,False
301,2024-12-10,2024-12-15,3,2024-12-15,False
302,2024-06-28,2024-07-03,3,2024-07-03,False
303,2024-07-18,2024-07-23,4,2024-07-23,False
304,2024-07-21,2024-07-28,2,2024-07-28,False
305,2024-03-01,2024-03-06,3,2024-03-06,False
306,2024-07-10,2024-07-13,4,2024-07-13,False
307,2024-01-05,2024-01-10,1,2024-01-10,False
308,2024-08-24,2024-08-29,4,2024-08-29,False
309,2024-06-29,2024-07-02,5,2024-07-02,False
310,2024-11-06,2024-11-13,5,2024-11-13,False
311,2024-02-06,2024-02-11,2,2024-02-11,False
312,2024-02-25,2024-03-01,2,2024-03-02,True
313,2024-08-24,2024-08-27,5,2024-08-27,False
314,2024-12-23,2024-12-28,5,2024-12-28,False
315,2024-12-14,2024-12-17,3,2024-12-17,False
316,2024-07-15,2024-07-18,5,2024-07-22,True
317,2024-03-13,2024-03-18,2,2024-03-18,False
318,2024-02-28,2024-03-04,5,2024-03-04,False
319,2024-08-27,2024-09-01,2,2024-09-01,False
320,2024-01-02,2024-01-05,1,2024-01-05,False
321,2024-12-25,2024-12-30,5,2024-12-30,False
322,2024-07-06,2024-07-09,2,2024-07-09,False
323,2024-11-02,2024-11-09,4,2024-11-09,False
324,2024-01-30,2024-02-04,3,2024-02-04,False
325,2024-09-23,2024-09-28,2,2024-09-28,False
326,2024-04-17,2024-04-20,5,2024-04-20,False
327,2024-11-27,2024-11-30,5,2024-11-30,False
328,2024-03-30,2024-04-06,1,2024-04-06,False
329,2024-07-23,2024-07-26,4,2024-07-26,False
