order_id,region,carrier_name,sla_days,delivered_late
1,Centro-Oeste,RápidoX,7,True
2,Norte,SulCargo,5,False
3,Sudeste,EntregaJá,5,False
4,Sul,RápidoX,5,False
5,Sudeste,EntregaJá,3,False
6,Sul,TransLog,5,False
7,Sudeste,EntregaJá,3,False
8,Nordeste,EntregaJá,5,False
9,Sudeste,TransLog,3,False
10,Centro-Oeste,RápidoX,3,False
11,Sudeste,EntregaJá,3,False
12,Sul,BrasilExpress,5,False
13,Nordeste,EntregaJá,5,False
14,Sudeste,RápidoX,3,False
15,Nordeste,TransLog,5,False
16,Nordeste,RápidoX,3,False
17,Centro-Oeste,SulCargo,5,False
18,Sudeste,EntregaJá,5,False
19,Centro-Oeste,EntregaJá,5,False
20,Nordeste,TransLog,5,False
21,Sudeste,EntregaJá,3,False
22,Sul,BrasilExpress,5,False
23,Sul,BrasilExpress,5,True
24,Norte,RápidoX,5,True
25,Nordeste,TransLog,5,False
26,Sudeste,SulCargo,3,False
27,Sudeste,RápidoX,5,False
28,Sul,TransLog,5,False
29,Nordeste,TransLog,3,False
30,Sudeste,RápidoX,3,False
31,Nordeste,RápidoX,3,True
32,Sudeste,EntregaJá,7,False
33,Nordeste,SulCargo,5,False
34,Sul,BrasilExpress,3,False
35,Sudeste,EntregaJá,3,True
36,Sudeste,TransLog,5,False
37,Centro-Oeste,SulCargo,7,False
38,Norte,SulCargo,3,False
39,Sul,RápidoX,3,False
40,Sudeste,SulCargo,7,False
41,Sudeste,SulCargo,3,False
42,Norte,TransLog,3,False
43,Sul,EntregaJá,7,False
44,Sudeste,SulCargo,5,False
45,Sudeste,RápidoX,3,False
46,Sul,EntregaJá,3,False
47,Sudeste,RápidoX,3,True
48,Sudeste,SulCargo,3,True
49,Sudeste,EntregaJá,7,False
50,Sudeste,SulCargo,5,False
51,Sudeste,TransLog,5,False
52,Sudeste,EntregaJá,7,False
53,Nordeste,RápidoX,5,False
54,Sudeste,TransLog,3,False
55,Sudeste,BrasilExpress,5,False
56,Sudeste,RápidoX,7,False
57,Centro-Oeste,SulCargo,7,False
58,Sudeste,RápidoX,3,False
59,Centro-Oeste,BrasilExpress,5,False
60,Centro-Oeste,RápidoX,5,True
61,Centro-Oeste,TransLog,7,False
62,Sul,RápidoX,3,False
63,Sudeste,EntregaJá,5,False
64,Sudeste,BrasilExpress,7,False
65,Sudeste,RápidoX,5,False
66,Nordeste,BrasilExpress,5,False
67,Sul,TransLog,3,False
68,Sudeste,EntregaJá,3,False
69,Sudeste,SulCargo,3,True
70,Sudeste,RápidoX,7,False
71,Sudeste,TransLog,3,False
72,Nordeste,BrasilExpress,5,False
73,Sudeste,BrasilExpress,5,False
74,Sul,TransLog,3,False
75,Centro-Oeste,RápidoX,5,False
76,Sudeste,SulCargo,5,False
77,Sul,RápidoX,7,False
78,Nordeste,EntregaJá,5,False
79,Sudeste,RápidoX,5,False
80,Sudeste,EntregaJá,3,False
81,Sul,BrasilExpress,7,True
82,Sudeste,EntregaJá,3,False
83,Sudeste,SulCargo,5,False
84,Nordeste,TransLog,3,False
85,Centro-Oeste,EntregaJá,7,False
86,Centro-Oeste,RápidoX,5,False
87,Sudeste,EntregaJá,5,True
88,Sudeste,BrasilExpress,3,False
89,Sudeste,EntregaJá,5,False
90,Sudeste,SulCargo,5,False
91,Sul,EntregaJá,5,False
92,Nordeste,SulCargo,3,True
93,Sudeste,RápidoX,7,False
94,Sudeste,BrasilExpress,7,False
95,Sudeste,TransLog,3,True
96,Sudeste,RápidoX,7,False
97,Sul,RápidoX,5,False
98,Sudeste,TransLog,5,False
99,Sul,EntregaJá,3,False
100,Sudeste,EntregaJá,5,False
101,Centro-Oeste,EntregaJá,5,True
102,Nordeste,BrasilExpress,5,False
103,Norte,RápidoX,5,False
104,Centro-Oeste,SulCargo,5,False
105,Sudeste,TransLog,5,False
106,Sudeste,RápidoX,3,True
107,Sudeste,EntregaJá,7,False
108,Nordeste,TransLog,5,False
109,Nordeste,SulCargo,3,False
110,Centro-Oeste,RápidoX,3,False
111,Sul,RápidoX,5,False
112,Sudeste,BrasilExpress,7,False
113,Sudeste,RápidoX,3,False
114,Sudeste,RápidoX,5,True
115,Sudeste,SulCargo,3,False
116,Sul,SulCargo,5,True
117,Sudeste,TransLog,7,False
118,Nordeste,EntregaJá,5,True
119,Sudeste,SulCargo,3,False
120,Sul,TransLog,5,False
121,Sul,RápidoX,3,True
122,Centro-Oeste,TransLog,5,False
123,Nordeste,TransLog,5,False
124,Sudeste,TransLog,5,False
125,Centro-Oeste,TransLog,3,False
126,Norte,SulCargo,7,True
127,Sudeste,EntregaJá,5,False
128,Nordeste,TransLog,3,False
129,Sudeste,BrasilExpress,5,False
130,Nordeste,RápidoX,5,False
131,Nordeste,RápidoX,5,False
132,Nordeste,RápidoX,5,False
133,Sudeste,RápidoX,5,True
134,Sudeste,RápidoX,3,False
135,Sudeste,TransLog,7,False
136,Sudeste,EntregaJá,5,False
137,Sudeste,BrasilExpress,3,False
138,Sudeste,SulCargo,5,False
139,Sudeste,BrasilExpress,7,True
140,Nordeste,SulCargo,7,False
141,Sudeste,SulCargo,3,False
142,Nordeste,BrasilExpress,3,True
143,Sudeste,TransLog,5,False
144,Centro-Oeste,RápidoX,3,True
145,Sudeste,TransLog,7,False
146,Sul,RápidoX,3,False
147,Nordeste,EntregaJá,3,True
148,Sul,SulCargo,5,True
149,Sudeste,BrasilExpress,3,False
150,Sudeste,EntregaJá,5,False
151,Sudeste,RápidoX,5,False
152,Norte,TransLog,3,False
153,Nordeste,BrasilExpress,3,False
154,Sudeste,SulCargo,5,True
155,Sudeste,EntregaJá,3,False
156,Centro-Oeste,SulCargo,5,False
157,Sudeste,RápidoX,5,False
158,Sudeste,SulCargo,5,False
159,Nordeste,TransLog,7,False
160,Norte,EntregaJá,7,False
161,Sudeste,EntregaJá,7,False
162,Sudeste,TransLog,3,False
163,Sul,SulCargo,3,False
164,Sudeste,TransLog,3,False
165,Sudeste,BrasilExpress,7,False
166,Sudeste,TransLog,7,False
167,Sudeste,SulCargo,7,False
168,Sudeste,TransLog,3,False
169,Sudeste,RápidoX,7,False
170,Nordeste,TransLog,5,False
171,Sudeste,TransLog,3,False
172,Centro-Oeste,SulCargo,5,False
173,Sul,BrasilExpress,3,False
174,Sudeste,BrasilExpress,5,False
175,Sul,SulCargo,3,False
176,Nordeste,SulCargo,5,False
177,Centro-Oeste,SulCargo,5,False
178,Sudeste,RápidoX,7,True
179,Nordeste,EntregaJá,5,True
180,Centro-Oeste,TransLog,5,False
181,Sudeste,SulCargo,7,True
182,Sudeste,SulCargo,7,False
183,Sudeste,SulCargo,3,False
184,Sudeste,BrasilExpress,5,False
185,Sudeste,SulCargo,3,False
186,Sul,TransLog,3,False
187,Nordeste,SulCargo,5,False
188,Sudeste,TransLog,7,False
189,Sul,RápidoX,3,False
190,Sudeste,EntregaJá,7,False
191,Sul,BrasilExpress,7,False
192,Sudeste,TransLog,7,False
193,Sudeste,RápidoX,3,False
194,Sudeste,EntregaJá,7,False
195,Sudeste,EntregaJá,3,False
196,Centro-Oeste,EntregaJá,5,False
197,Sudeste,TransLog,3,False
198,Sudeste,RápidoX,3,False
199,Nordeste,SulCargo,5,False
200,Sul,RápidoX,5,False
201,Sudeste,RápidoX,3,False
202,Sudeste,RápidoX,3,True
203,Sudeste,TransLog,5,False
204,Sul,TransLog,3,False
205,Sudeste,TransLog,7,False
206,Nordeste,RápidoX,3,False
207,Centro-Oeste,TransLog,3,False
208,Nordeste,EntregaJá,3,False
209,Sudeste,TransLog,5,False
210,Sul,BrasilExpress,3,False
211,Sudeste,TransLog,3,False
212,Sudeste,TransLog,7,False
213,Sudeste,TransLog,5,False
214,Nordeste,TransLog,3,False
215,Nordeste,BrasilExpress,5,False
216,Sudeste,SulCargo,7,True
217,Sudeste,TransLog,3,True
218,Nordeste,EntregaJá,3,False
219,Sul,BrasilExpress,5,False
220,Centro-Oeste,SulCargo,5,True
221,Centro-Oeste,TransLog,5,False
222,Sudeste,SulCargo,3,False
223,Sudeste,EntregaJá,3,False
224,Sudeste,BrasilExpress,5,False
225,Sudeste,BrasilExpress,3,False
226,Nordeste,SulCargo,5,False
227,Nordeste,TransLog,5,False
228,Sudeste,RápidoX,3,False
229,Nordeste,BrasilExpress,7,False
230,Nordeste,RápidoX,7,True
231,Sudeste,BrasilExpress,5,False
232,Sudeste,TransLog,3,False
233,Norte,TransLog,3,False
234,Nordeste,BrasilExpress,5,False
235,Sudeste,SulCargo,3,False
236,Centro-Oeste,TransLog,7,False
237,Nordeste,TransLog,3,True
238,Nordeste,EntregaJá,5,False
239,Sul,TransLog,3,False
240,Sul,EntregaJá,5,True
241,Nordeste,TransLog,3,False
242,Sudeste,TransLog,5,True
243,Centro-Oeste,SulCargo,3,False
244,Sul,SulCargo,7,False
245,Sudeste,TransLog,3,False
246,Sudeste,BrasilExpress,7,True
